# Time, Voltage
0.000000000000000000e+00,4.751813715708067321e+00
2.000000000000000042e-03,4.715784723694229186e+00
4.000000000000000083e-03,4.643724278728148747e+00
6.000000000000000125e-03,4.547638581271497671e+00
8.000000000000000167e-03,4.423519255184269028e+00
1.000000000000000021e-02,4.271359707582092824e+00
1.200000000000000025e-02,4.103166351600330941e+00
1.400000000000000029e-02,3.910923498327415260e+00
1.600000000000000033e-02,3.702634076253554340e+00
1.800000000000000211e-02,3.478291765931979640e+00
2.000000000000000042e-02,3.245903749326686238e+00
2.199999999999999872e-02,3.001458905794342158e+00
2.400000000000000050e-02,2.740943420824885735e+00
2.600000000000000228e-02,2.484394060822490147e+00
2.800000000000000058e-02,2.219784087123485961e+00
2.999999999999999889e-02,1.947109489309731600e+00
3.200000000000000067e-02,1.674388062775051367e+00
3.400000000000000244e-02,1.405631444656021856e+00
3.600000000000000422e-02,1.132817049337150550e+00
3.799999999999999906e-02,8.639688296219336650e-01
4.000000000000000083e-02,5.950751483737928282e-01
4.200000000000000261e-02,3.261360055927298163e-01
4.399999999999999745e-02,6.116643106703101296e-02
4.599999999999999922e-02,-1.998315699942327939e-01
4.800000000000000100e-02,-4.608723589763243922e-01
5.000000000000000278e-02,-7.139219570303954043e-01
5.200000000000000455e-02,-9.629941381572333370e-01
5.399999999999999939e-02,-1.204068798781962712e+00
5.600000000000000117e-02,-1.441161100348011814e+00
5.800000000000000294e-02,-1.670249855657422344e+00
5.999999999999999778e-02,-1.891331601167252074e+00
6.199999999999999956e-02,-2.100382516576722480e+00
6.400000000000000133e-02,-2.309460816255523241e+00
6.600000000000000311e-02,-2.494437523716603877e+00
6.800000000000000488e-02,-2.671391817726606277e+00
7.000000000000000666e-02,-2.836298693088481926e+00
7.200000000000000844e-02,-2.981109010357526401e+00
7.399999999999999634e-02,-3.121909402006826539e+00
7.599999999999999811e-02,-3.246628680571644665e+00
7.799999999999999989e-02,-3.351239450807755205e+00
8.000000000000000167e-02,-3.439761603616345198e+00
8.200000000000000344e-02,-3.512192465385320261e+00
8.400000000000000522e-02,-3.564505683984265261e+00
8.600000000000000699e-02,-3.600723530234224867e+00
8.799999999999999489e-02,-3.620844910384795057e+00
8.999999999999999667e-02,-3.616820614100044295e+00
9.199999999999999845e-02,-3.596699284586065914e+00
9.400000000000000022e-02,-3.564505683984265261e+00
9.600000000000000200e-02,-3.508168442538169174e+00
9.800000000000000377e-02,-3.435737763060927819e+00
1.000000000000000056e-01,-3.351239450807755205e+00
1.020000000000000073e-01,-3.238581981810709109e+00
1.040000000000000091e-01,-3.125932452631397851e+00
1.059999999999999970e-01,-2.993177129244747547e+00
1.079999999999999988e-01,-2.848365718225300824e+00
1.100000000000000006e-01,-2.691501500824264426e+00
1.120000000000000023e-01,-2.526609573384552831e+00
1.140000000000000041e-01,-2.349671321047116734e+00
1.160000000000000059e-01,-2.164711384425537233e+00
1.180000000000000077e-01,-1.975752712871200245e+00
1.199999999999999956e-01,-1.778777066235839754e+00
1.219999999999999973e-01,-1.573787421951108101e+00
1.239999999999999991e-01,-1.368824118821896363e+00
1.260000000000000009e-01,-1.147814783639622860e+00
1.280000000000000027e-01,-9.429062287944347531e-01
1.300000000000000044e-01,-7.219559358792455583e-01
1.320000000000000062e-01,-5.010362781026369561e-01
1.340000000000000080e-01,-2.801472554646107227e-01
1.360000000000000098e-01,-7.133489917065283237e-02
1.380000000000000115e-01,1.494945241977703176e-01
1.400000000000000133e-01,3.622648023307721843e-01
1.420000000000000151e-01,5.709928993344828285e-01
1.440000000000000169e-01,7.756803950705943862e-01
1.459999999999999909e-01,9.803415496511842520e-01
1.479999999999999927e-01,1.176951964670742257e+00
1.499999999999999944e-01,1.361502879151155199e+00
1.519999999999999962e-01,1.550043636778648093e+00
1.539999999999999980e-01,1.722518776119024153e+00
1.559999999999999998e-01,1.886954376712671078e+00
1.580000000000000016e-01,2.043352929879951319e+00
1.600000000000000033e-01,2.187707153231258417e+00
1.620000000000000051e-01,2.316010999909849488e+00
1.640000000000000069e-01,2.448313480248012652e+00
1.660000000000000087e-01,2.552544030436882494e+00
